Year,Mint Mark,Denomination,Program/Series,Theme/Subject,Condition,Cost,AI Estimated Value,Certification Number,Storage Location,Added
"1963","D","Franklin Silver Half Dollar","","Unmapped","Very Fine","$0.00","Pending","","",""
"1945","D","Half Dollar","Walking Liberty Half Dollar","Walking Liberty","Very Fine","$39.95","Pending","","",""
"1950","","Penny","Lincoln Cent","Wheat Reverse","Genuine","$0.00","$0.10 - $0.50","","",""
"1986","D","Penny","Lincoln Cent","Lincoln Cent (Memorial Reverse)","Uncirculated","$2.95","Pending","","",""
"1952","","Penny","Lincoln Head Penny","Abraham Lincoln","Uncirculated","$15.95","Pending","","",""
"1991","S","Penny","Lincoln Cent","Lincoln Head","Proof 63 (PR63)","$19.50","Pending","","",""
"1968","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","4.75","Pending","","",""
"2021S","","","Clad Silver Proof Set 7 coins","Unmapped","ch proof 63","$175.00","","","",""
"2024","P","1 Quarter","American Women Quarters Program","Celia Cruz","Uncirculated","$1.00","Pending","","",""
"1954","","Quarter","Washington Silver Quarter","Unmapped","Proof-63","37.75","$12 – $18","","",""
"1964","","","silver proof set 5 coins","Unmapped","ch prood 63","$67.50","$25 – $35","","",""
"1999","P","Susan B. Anthony Dollar","Susan B. Anthony Dollar","Susan B. Anthony","Uncirculated","$0.00","$3 – $6","","",""
"1901","O","1 Dollar","Morgan Silver Dollars","Liberty Head","Fine","$87.50","$38 – $45","","",""
"2009","D","Penny","Lincoln Cent Series","Abraham Lincoln, Formative Years Reverse","Uncirculated","$0.30","$0.50 – $2.00","","",""
"2007","P","$1","Presidential $1 Coin Program","George Washington","Uncirculated","4.95","$1.50 – $3.00","","",""
"1930","","Penny","Lincoln Head Penny","Lincoln Portrait","Uncirculated","$13.50","$10 – $25","","",""
"1859","","Seated Liberty Half Dime","","Stars","About Uncirculated 50","$210.00","Pending","","",""
"1942","S","Nickel","Jefferson Nickel Series","Thomas Jefferson, Wartime Nickel","Average Circulated","$0.00","Pending","","",""
"1982","D","Penny","Lincoln Cent","Abraham Lincoln","Mint State","$1.45","Pending","","",""
"2008","S","$1","Presidential $1 Coin Program","Martin Van Buren","Proof-63","11.95","Pending","","",""
"1970","D","Quarter","Washington Quarter","Unmapped","Uncirculated","1.85","Pending","","",""
"1947","S","Dime","Roosevelt Dime","Unmapped","Uncirculated","points","Pending","","",""
"1888","","","","Unmapped","Extremely Fine","$54.00","Pending","","",""
"2009","S","Penny","Lincoln Cent","Lincoln Bicentennial, Professional Life Reverse","Proof 63 Choice","$15.00","$8.00 - $18.00","","",""
"2023","","Quarter Dollar","The Celebrating America Coin Collection / American Women Quarters","Eleanor Roosevelt","","$17.95","","","",""
"1974","","Dime","Roosevelt Dime","Unmapped","Uncirculated","2.25","Pending","","",""
"1896","P","1 Dollar","Morgan Dollar","Liberty Head","AU-50","$99.50","Pending","","",""
"2022","S","Quarter","American Women Quarters","Wilma Mankiller","Proof-63","$25.75","Pending","","",""
"1944","","Penny","Lincoln Cent","Wheat Reverse","Average Circulated","$0.90","$0.15 – $0.50","","",""
"2001","S","Dime","Roosevelt Dimes","Unmapped","Proof-63","4.25","$2 – $5","","",""
"1853","","Half Dollar","Liberty Seated","Arrows and Rays","Fine #2","$148.50","Pending","","",""
"1970","S","Dime","Roosevelt Dimes","Unmapped","Proof-63","3.25","$1 – $3","","",""
"2008","W","Dollar","American Eagle","Unmapped","Proof-63","$129.00","$45 – $65","","",""
"2016S","","quarter","National Park Quarters","Unmapped","uncirculated","$1.25","$1 – $3","","",""
"1986","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$13.95","$3 – $7","","",""
"2005","P","Dollar","Modern Commemorative Club Selection","Marines","Choice Proof-63","$178.00","","","",""
"2018","","","Jamul Indian Nation","Hawaiians","Uncirculated","$0.00","","","",""
"1912","P","Barber Silver Dimes","Barber Dimes","Liberty Head","Average Circulated","$19.00","Pending","","",""
"1909","","Penny","Lincoln Head Penny","Unmapped","Average Circulated","","$2.00 – $4.00","","",""
"2009","P","$1","Presidential $1 Coin Program","William Henry Harrison","Uncirculated","5.25","$1.50 – $3.00","","",""
"1973","S","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Proof-63","$31.35","$4 – $8","","",""
"1860","","1 Cent","Indian Head Cent","Indian Head","MS-63","$450.00","Pending","","",""
"1906","D","Barber Silver Dimes","Barber Dimes","Liberty Head","Average Circulated","$21.75","$4 – $12","","",""
"1950","","Half Dollar","Franklin Half Dollar","America Revisited Selection","Circulated","$33.40","Pending","","",""
"1963","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","17.75","$3 – $6","","",""
"2019D","","quarter","National Park Quarters","Unmapped","uncirculated","$1.00","$1.00 – $3.00","","",""
"1856","","Half Dollar","Liberty Seated","No Motto","Average Circulated","$103.50","$75 – $125","","",""
"2013","S","Penny","Lincoln Cent Series","Abraham Lincoln","Proof-63","$2.25","$3 – $7","","",""
"1969","","$1 Federal Reserve Note","American Paper Money Club Selection","Federal Reserve Note","Choice Crisp","$16.25","","","",""
"2023","P","Dollar","U.S. Innovation Dollar","Louisiana Higgins Boat","Uncirculated","$0.00","","","",""
"2006","D","Quarter","State and Territory Quarters","Nebraska","Uncirculated","2.5","$0.50 – $1.50","","",""
"2021","P","1 Dollar","American Innovation Dollars","Virginia - Chesapeake Bay Bridge Tunnel","Uncirculated","Points","$2 – $4","","",""
"2002","S","1 Dollar","Sacagawea Dollar","Unmapped","Proof-63","$25.00","$5 – $10","","",""
"2024","P","Quarter Dollar","American Women Quarters","Celia Cruz","Uncirculated","$1.00","","","",""
"1844","O","Quarter","Liberty Seated","Liberty Seated, No Motto","Average Circulated","$85.50","$150 – $350","","",""
"1916","D","Penny","Lincoln Head Penny","Lincoln Portrait","Fine","$14.50","Pending","","",""
"2018","","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$71.00","$35 – $45","","",""
"2008","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"2000","P","Quarter","State and Territory Quarters","Massachusetts","Uncirculated","1.95","$0.50 – $2.00","","",""
"1973","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.40","$0.15 – $1.50","","",""
"1902","","Cent","Indian Head Cent","Unmapped","Good","$8.25","Pending","","",""
"2024","P","Dollar","U.S. Innovation Dollar","Direct Current Defibrillator","Uncirculated","$0.00","$1.50 – $3.00","","",""
"1939","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"1995","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$4.75","$1.00 – $3.00","","",""
"2020","W","Dollar","America the Beautiful Quarters","Unmapped","Proof-63","$104.50","$65 – $85","","",""
"1928","S","Mercury Dime","","Unmapped","Uncirculated","$2.95","$125 – $250","","",""
"2012","S","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Proof-63","$30.95","$4 – $8","","",""
"2014","D","Quarter","America the Beautiful Quarters","Everglades National Park","Uncirculated","$1.25","$0.50 – $1.50","","",""
"1896","S","25 Cents","Barber Silver Quarters","Liberty Head","G-6","$1750.00","$1,100 – $1,400","","",""
"2013","D","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$1.95","$1.50 – $3.00","","",""
"2005","P","Quarter","State and Territory Quarters","Kansas","Uncirculated","2.5","$0.50 – $2.00","","",""
"2004","S","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Choice Proof 63","$48.00","$12 – $22","","",""
"1991","S","Dime","Roosevelt Dimes","Unmapped","Proof-63","5.50","$2 – $5","","",""
"1909","S","25 Cents","Barber Silver Quarters","Liberty Head","AC","$35.25","$150 – $250","","",""
"1854","","Half Dollar","Liberty Seated","With Arrows","Very Fine #2","$148.50","$75 – $110","","",""
"2010","P","Quarter","National Park Quarters","Grand Canyon National Park","Mint State","$1.50","$0.25 – $1.00","","",""
"1943","D","Quarter","Washington Silver Quarter","Unmapped","Very Good","26.50","$6 – $9","","",""
"2003","","Penny","Lincoln Head Penny","Abraham Lincoln","Uncirculated","$0.70","$0.15 – $1.00","","",""
"2007","S","$1","Presidential $1 Coin Program","John Adams","Proof-63","7.50","$3 – $7","","",""
"1913","S","25 Cents","Barber Silver Quarters","Liberty Head","G-4","$2350.00","$1,200 – $1,600","","",""
"1998","S","Dime","Roosevelt Dimes","Unmapped","Proof-63","10.00","$3 – $7","","",""
"1946","","Quarter","","Unmapped","Average Circ","$0.00","$6 – $9","","",""
"1868","","","","Unmapped","Very Fine","$210.00","Pending","","",""
"1961","","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Extremely Fine","$38.50","$11 – $14","","",""
"1925","","Quarter","Standing Liberty Silver Quarter","Unmapped","Very Good","$32.50","$8 – $15","","",""
"1846","","Large Cent","Braided Hair Large Cents","Liberty Head","Fine","$130.50","Pending","","",""
"2006","","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$10.95","$1.50 – $3.50","","",""
"1996","S","Penny","Lincoln Cent","Abraham Lincoln","Proof-63","$5.95","$2 – $5","","",""
"1913","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"2025","S","Quarter","American Women Quarters","Ida B. Wells","Proof-63","$10.95","$3 – $7","","",""
"1909","S","Penny","Lincoln Cent Series","Abraham Lincoln","Very Fine","$270.00","$300 – $450","","",""
"2024","P","Dollar","American Innovation Dollars","Maine / Direct Current Defibrillator","Uncirculated","$0.00","","","",""
"1878","","1 Dollar","Morgan Silver Dollars","Unmapped","Very Choice Uncirculated","$850.00","$150 – $350","","",""
"1939","S","Dime","Mercury Dime","Winged Liberty Head","Very Fine","$20.95","Pending","","",""
"2018","S","Quarter","National Park Quarters","Michigan Pictured Rocks National Lakeshore","Uncirculated","$1.25","$1.50 – $3.50","","",""
"1933","D","Penny","Lincoln Cent","Abraham Lincoln","Extremely Fine","$45.00","$2.50 – $5.00","","",""
"1875","","Dime","Liberty Seated Dime","Unmapped","Average Circulated","$49.50","$15 – $30","","",""
"2003","S","Penny","Lincoln Cent","Lincoln Cent (Memorial Reverse)","Choice Proof 63","$3.50","$3 – $7","","",""
"2016","D","1 Dollar","Native American Dollar","Native American","Uncirculated","$2.95","$2.00 – $4.00","","",""
"1963","D","Dime","Roosevelt Dime","Unmapped","Average Circulated","points","Pending","","",""
"1899","","Half Dollar","Barber","Liberty Head","Circulated","$47.00","$18 – $45","","",""
"2018","","Dollar","America the Beautiful Quarters","Unmapped","Uncirculated","$0.00","","","",""
"1955","","Penny","Lincoln Cent","Lincoln Head","Good (G)","$0.70","$0.05 – $0.15","","",""
"2006","S","Quarter","State and Territory Quarters","Colorado commemorative","Proof-63","3.6","$3 – $8","","",""
"1942","P","Nickel","Jefferson Nickel Series","Thomas Jefferson, Wartime Nickel","Average Circulated","$0.00","$1.50 – $3.00","","",""
"1924","D","Dime","USA Invoice Import","Unmapped","Average Circulated","$29.25","","","",""
"2023","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated",".95","$0.15 – $1.00","","",""
"1949","","","Time Capsule Year Set","America Revisited Selection","Circulated","$112.00","","","",""
"2022","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$1.95","$1.00 – $3.00","","",""
"1896","","Half Dollar","Barber","Liberty Head","Circulated","$54.00","$18 – $150","","",""
"2000","S","Quarter","State and Territory Quarters","South Carolina - Silver","Proof-63","19.25","$4 – $12","","",""
"2012","S","Quarter","National Park Quarters","Indiana George Rogers Clark National Historical Park","Proof-63","$11.75","$3 – $7","","",""
"2017","S","Dime","America the Beautiful Quarters","Unmapped","Proof-63","23.50","$3 – $8","","",""
"1896","O","Half Dollar","Barber","Liberty Head","Circulated","$107.50","$120 – $650","","",""
"1986","P","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$15.50","$1.50 – $3.50","","",""
"2000","P","Dime","Roosevelt Dimes","Unmapped","Uncirculated","2.00","Pending","","",""
"1888","S","Quarter","Liberty Seated","Unmapped","Fine","$90.00","$150 – $225","","",""
"1922","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $1,500","","",""
"2009","S","Penny","Lincoln Cent","Lincoln Bicentennial, Presidency (Formative Years) Reverse","Proof 63 Choice","$15.00","$7.00 - $15.00","","",""
"1931","S","Dime","Mercury Dime","Winged Liberty Head","Very Good","$27.95","$8 – $15","","",""
"1929","S","Half Dollar","Liberty Walking Half Dollar","Liberty Walking","Very Good","$54.00","Pending","","",""
"2020","S","Quarter","National Park Quarters","National Park of American Samoa","Proof-63","$12.00","Pending","","",""
"1996","","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$0.80","$0.15 – $1.00","","",""
"2020","W","Dollar","The Complete 2020 American Eagle NGCX Silver Dollar Set","WWII 75th Anniversary","","$298.00","","","",""
"2010","D","$1","Presidential $1 Coin Program","Millard Fillmore","Uncirculated","4.50","Pending","","",""
"2004","P","Quarter","State and Territory Quarters","Wisconsin","Uncirculated","2.5","$0.50 – $1.50","","",""
"1943","","Penny","Lincoln Head Penny","Unmapped","Average Circulated","","$0.10 – $0.50","","",""
"1986","","Dollar","The Complete Original-Design Proof Silver Eagle Dollar Collection","Unmapped","Proof","$187.00","","","",""
"2023","D","Quarter","US Women's Quarters","Eleanor Roosevelt","Uncirculated","$1.00","$0.25 – $1.50","","",""
"1999","D","Susan B. Anthony Dollar","Susan B. Anthony Dollar","Susan B. Anthony","Uncirculated","$22.50","$3 – $6","","",""
"1987","D","Penny","Lincoln Cent","Lincoln Head","Uncirculated","$1.75","$0.15 – $1.00","","",""
"1891","O","Dollar","Morgan Silver Dollar","Liberty Head, Eagle","Extremely Fine","$105.00","Pending","","",""
"1908","","25 Cents","Barber Silver Quarters","Liberty Head","Very Good","$34.25","Pending","","",""
"1811","","Capped Bust Silver Half Dollar","Capped Bust Half Dollar","Capped Bust Liberty","XF-40","$795.00","Pending","","",""
"1994","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","4.35","Pending","","",""
"1857","","Quarter","Liberty Seated","Liberty Seated, No Motto","Very Good","$67.50","Pending","","",""
"1976","D","Dollar","U.S. Bicentennial","Bicentennial Drummer (Type I)","MS-63","$31.35","Pending","","",""
"1906","","Dime","Barber","Unmapped","Good","$0.00","","","",""
"1977","","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","2.50","$1.00 – $3.00","","",""
"1987","S","Penny","Lincoln Cent","Lincoln Head","Proof 63 (PR63)","$4.25","$1.00 – $3.00","","",""
"2017S","","quarter","National Park Quarters","Unmapped","uncirculated","$1.25","$1.00 – $3.00","","",""
"1840","","Seated Liberty Half Dime","","Stars No Drapery","Fine","$81.00","$35 – $55","","",""
"1921","S","Penny","Lincoln Head Penny","Lincoln Portrait","Average Circulated","$9.00","Pending","","",""
"1934","","5-Coin Set","Time Capsule Year Set","AMERICA REVISITED SELECTION","Circulated","$138.00","","","",""
"1951","D","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Average Circulated","$38.50","Pending","","",""
"1892","","Half Dollar","Barber","Liberty Head","Good","$97.00","Pending","","",""
"1855","O","Half Dollar","Liberty Seated","With Arrows","Very Good","$121.50","Pending","","",""
"2006","P","Quarter","State and Territory Quarters","South Dakota","Uncirculated","2.5","Pending","","",""
"1946","","Cent","Lincoln Wheat Cent","Unmapped","Circulated","$19.80","Pending","","",""
"2007","S","Quarter","State and Territory Quarters","Washington","Proof-63","4.5","Pending","","",""
"1915","S","25 Cents","Barber Silver Quarters","Liberty Head","Good","$75.00","Pending","","",""
"2007","S","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Choice Proof 63","$9.95","$4 – $8","","",""
"1993","P","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","5.75","$1 – $3","","",""
"1943","S","Cent","Lincoln Cent","Lincoln Head","Ungraded","$0.00","$0.50 – $15.00","","",""
"multiple","","1 cent","Wheat Cents","Unmapped","Ungraded","49.95","$0.03 – $5.00","","",""
"1982","D","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Uncirculated","$19.50","$1 – $3","","",""
"1914","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","$0.50 – $3.00","","",""
"1879","","","","Unmapped","Very Fine","$80.00","Pending","","",""
"2006","","Dollar","American Eagle","Unmapped","Uncirculated","$53.50","$38 – $48","","",""
"1971","S","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Uncirculated","$40.50","$12 – $20","","",""
"1971","S","Penny","Lincoln Cent Series","Abraham Lincoln","Uncirculated","$1.40","$0.25 – $1.50","","",""
"1891","S","Quarter","Liberty Seated","Unmapped","Very Good","$85.00","$120 – $160","","",""
"2002","P","1 Dollar","Sacagawea Dollar","Unmapped","Uncirculated","$11.50","$1.25 – $3.00","","",""
"2021","S","Dollar","Native American Dollar","Military Service","Choice Proof-63","$0.00","","","",""
"","","Dollar","The Statehood Innovation Dollar Coin Collection","Florida","","$17.95","","","",""
"1925-1998","","Five Cents","The U.S. Nickel Collection","Shipment 23","","$31.80","","","",""
"1993","P","Dollar","American Eagle","Unmapped","Proof-63","$189.00","$65 – $85","","",""
"1944","D","Half Dollar","Walking Liberty Half Dollar","Unmapped","Fine","$0.00","$13 – $18","","",""
"1924","S","1 Dime","Mercury Silver Dime","Unmapped","Good","$29.50","Pending","","",""
"1911","S","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Very Good","$0.00","Pending","","",""
"1964","","Five Cents","The U.S. Nickel Collection","Unmapped","","$7.95","","","",""
"1823","","Capped Bust Silver Half Dollar","Capped Bust Half Dollar","Capped Bust Liberty","AU-50","$850.00","Pending","","",""
"1985","S","Dime","Roosevelt Dimes","Unmapped","Proof-63","3.25","Pending","","",""
"2000","P","Quarter","State and Territory Quarters","South Carolina","Uncirculated","2.75","Pending","","",""
"1965","","","Special Mint Set soft holder","Unmapped","uncirculated","$43.00","","","",""
"1954","","Quarter","Washington Quarter","Year Set","Circulated","$18.90","Pending","","",""
"1939","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","Pending","","",""
"2021P","","quarter","National Park Quarters","Unmapped","uncirculated","$1.00","","","",""
"1910","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"2019","W","Penny","America the Beautiful Quarters","Unmapped","Proof-63","$24.95","$5 – $12","","",""
"2008","P","Quarter","State and Territory Quarters","Hawaii","Uncirculated","2.5","$0.50 – $1.50","","",""
"2011","P","$1","Presidential $1 Coin Program","Andrew Johnson","Uncirculated","4.50","$1.50 – $3.00","","",""
"1842","","Half Dollar","Liberty Seated","Medium Date","Very Fine 35","$325.00","Pending","","",""
"1854","O","Dime","Liberty Seated Silver Dime","Unmapped","Fine","$67.50","Pending","","",""
"1936","S","Penny","Lincoln Head Cent","Unmapped","Average Circulated","$1.35","Pending","","",""
"1934","A","$10","American Paper Money Club Selection","Federal Reserve Note","Fine","$60.50","","","",""
"2012","S","1 Dollar","Native American Dollar","Native American","Proof-63","$49.00","Pending","","",""
"1934","D","Penny","Lincoln Head Penny","Unmapped","Average Circulated","$160.00","Pending","","",""
"1997","D","Quarter","Washington Silver Quarter","Unmapped","Uncirculated","5.75","Pending","","",""
"1943","","Half Dollar","Walking Liberty Half Dollar","Unmapped","Extremely Fine","$0.00","Pending","","",""
"1945","S","Nickel","Jefferson Nickel Series","Thomas Jefferson, Wartime Nickel","Uncirculated","$0.00","Pending","","",""
"2000","S","Quarter","State and Territory Quarters","Maryland","Proof-63","2.6","Pending","","",""
"1950","","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Choice Proof-63","$695.00","Pending","","",""
"1945","P","Half Dollar","Liberty Walking Half Dollar","Liberty Walking","Very Fine","$38.50","Pending","","",""
"2005","S","Quarter","State and Territory Quarters","Minnesota","Proof-63","4.75","Pending","","",""
"2001S","","","Silver Proof set 10 coins","Unmapped","ch proof 63","$105.00","Pending","","",""
"1959","","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Very Fine","$41.95","$11 – $14","","",""
"2008","S","Kennedy Half Dollar","Kennedy Half Dollar","John F. Kennedy","Proof-63 Cameo","$56.50","$12 – $18","","",""
"1908","D","Barber Silver Dimes","Barber Dimes","Liberty Head","Very Good","$26.95","$4.50 – $7.50","","",""
"1853","","Seated Liberty Half Dime","","Stars","Fine","$185.00","$25 – $45","","",""
"1824","","Half Dollar","Capped Bust","Unmapped","About Uncirculated","$1,395.00","","","",""
"1972","","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","$4 – $8","","",""
"1998","S","Penny","Lincoln Cent","Lincoln Head","Proof 63 (PR63)","$9.50","$3 – $7","","",""
"2003","D","1 Dollar","Sacagawea Dollar","Unmapped","Uncirculated","$16.95","$2.00 – $4.00","","",""
"1925","","Penny","Lincoln Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"2018","P","Quarter","National Park Quarters","Cumberland Island National Seashore","Uncirculated","$2.00","$0.50 – $2.00","","",""
"1995","","Penny","Lincoln Cent","Abraham Lincoln","Mint State","$0.35","$0.15 – $1.00","","",""
"1981","P","Susan B. Anthony Dollar","Susan B. Anthony Dollar","Susan B. Anthony","Uncirculated","$10.75","$2.00 – $4.00","","",""
"1987S","","","Clad Proof Set 5 coins","Unmapped","ch proof 63","$20.00","$4 – $8","","",""
"1960","D","Penny","Lincoln Cent","Abraham Lincoln","Uncirculated","$0.75","$0.15 – $1.50","","",""
"2007","D","Quarter","State and Territory Quarters","Montana","Uncirculated","2.5","$0.25 – $1.00","","",""
"1920","","Quarter","Standing Liberty Silver Quarter","Unmapped","Fine","$65.00","$15 – $25","","",""
"1897","","Penny","Indian Head Cent","Unmapped","Good","$8.25","Pending","","",""
"2017S","","Quarter","National Park Year Set San Francisco Mint 5 coins","Unmapped","uncirculated","$15.75","$10 – $20","","",""
"2071","S","Dime","Roosevelt Dimes","Unmapped","Proof-63","3.50","Pending","","",""
"2016","S","Quarter","America the Beautiful Quarters","North Dakota Theodore Roosevelt National Park","Uncirculated","$1.25","$1.50 – $3.50","","",""
"1956","","Penny","Lincoln Head Penny","Abraham Lincoln","Choice Proof 63","$12.50","$3 – $7","","",""
"1981","D","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$4.75","$1.00 – $3.00","","",""
"1892","S","25 Cents","Barber Silver Quarters","Liberty Head","Good","$110.00","$120 – $160","","",""
"2016","S","Quarter","National Park Quarters","Kentucky Cumberland Gap National Historical Park","Uncirculated","$1.50","$1.50 – $3.50","","",""
"1976","S","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Proof-63","$19.50","Pending","","",""
"1904","","Dollar","Morgan Silver Dollar","Liberty Head, Eagle","Very Fine","$110.00","$45 – $55","","",""
"2020","W","Dollar","The Complete 2020 American Eagle NGCX Silver Dollar Set","American Eagle","Unknown","$298.00","","","",""
"2015","S","1 Dollar","Native American Dollar","Native American","Proof-63","$8.50","Pending","","",""
"2000","S","Quarter","State and Territory Quarters","Massachusetts silver","Proof-63","22.5","Pending","","",""
"1954","","Half Dollar","Franklin Half Dollar","Year Set","Circulated","$18.90","Pending","","",""
"1988","S","Dime","Roosevelt Dimes","Unmapped","Proof-63","5.50","$2 – $5","","",""
"1881","O","1 Dollar","Morgan Silver Dollars","Liberty Head","Extremely Fine","$90.00","Pending","","",""
"2011","D","Quarter","National Park Quarters","Gettysburg National Military Park","Mint State","$1.50","Pending","","",""
"1962","","Nickel","Jefferson Nickel","Time Capsule Year Set","Circulated","$15.99","Pending","","",""
"1943","P","Cent","Lincoln Steel Cent","Unmapped","","\.95","","","",""
"1946","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","Pending","","",""
"2019","","Dollar","American Innovation Dollar","Delaware Lenni Lenape","Uncirculated","$4.95","Pending","","",""
"1880","CC","$1.0","Morgan Silver Dollar","GSA Hoard VAM-4","NGC MS64","3047.26","Pending","","",""
"1918","S","Penny","Lincoln Cent Series","Abraham Lincoln","Good","$2.75","Pending","","",""
"2001","D","Quarter","State and Territory Quarters","New York","Uncirculated","1.95","Pending","","",""
"2009","D","Kennedy Half Dollar","Kennedy Half Dollar Series","John F. Kennedy","Uncirculated","$4.75","$1.50 – $3.50","","",""
"2004","P","Quarter","State and Territory Quarters","Michigan","Uncirculated","1.95","$0.50 – $1.50","","",""
"1931","","Dime","Mercury Dime","Unmapped","Fine","$30.50","$3.50 – $6.00","","",""
"2019S","","","Clad Proof Set 11 coins","Unmapped","ch proof 63","$78.95","$7 – $15","","",""
"1973","","Dollar","Eisenhower Dollar","Dwight D. Eisenhower","Uncirculated","$27.50","$3 – $8","","",""
"1910","","Penny","Lincoln Wheat Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"1920","","Penny","Lincoln Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"2021","W","American Silver Eagle Dollar","America the Beautiful Quarters","Unmapped","Superb Gem","$0.00","$110 – $140","","",""
"1893","O","Half Dollar","Barber","Liberty Head","Good","$112.00","$180 – $250","","",""
"1864-1869","","50C Fractional Currency","Fractional Currency","Spinner Reverse Red Black Specimen","Crisp Unused","$226.00","","","",""
"1893","O","25 Cents","Barber Silver Quarters","Liberty Head","AC","$34.75","$15 – $35","","",""
"1972","","1 Dollar","Eisenhower Dollar","Dwight D. Eisenhower","UNC 63","$31.35","$4 – $8","","",""
"1962","","Half Dollar","Franklin Half Dollar","Benjamin Franklin","Choice Proof 63","$58.50","Pending","","",""
"1865","","","","Unmapped","Very Choice Uncirculated","$350.00","Pending","","",""
"2009","P","Penny","Lincoln Cent","Lincoln Bicentennial, Formative Years Reverse","Uncirculated","$1.00","$0.50 - $2.00","","",""
"2009","S","Penny","Lincoln Cent","Lincoln Bicentennial, Formative Years Reverse","Proof 63 Choice","$15.00","$8.00 - $18.00","","",""
"1908","O","25 Cents","Barber Silver Quarters","Liberty Head","Good","$39.00","$15 – $25","","",""
"2004","","Penny","Lincoln Head Penny","Unmapped","Uncirculated","","$0.15 – $1.00","","",""
"1913","S","Barber Silver Dimes","Barber Dimes","Liberty Head","Fine","$267.00","$1,500 – $2,200","","",""
"1896","S","Half Dollar","Liberty Seated","Unmapped","Average Circulated","$175.50","$1,200 – $2,500","","",""
"1908","","Cent","Indian Head Cent","Unmapped","Good","$8.25","Pending","","",""
"1833","","Quarter Dollar","Washington Quarter Club","Capped Bust","Very Good","$239.00","","","",""
"1964","","Quarter","Washington Silver Quarter","Unmapped","Circulated","19.50","Pending","","",""
"1980","D","Dime","Roosevelt Dimes","Unmapped","Uncirculated","1.50","$1.50 – $3.50","","",""
"1921","","Half Dollar","Walking Liberty Half Dollar","Unmapped","About Uncirculated 50","$85.00","$3,500 – $4,500","","",""
"1952","","Dime","Roosevelt Dimes","Silver","Avg Cir","Points","$2.25 – $3.50","","",""
"1930","","Penny","Lincoln Wheat Cent Series","Abraham Lincoln","Not Graded","$0.00","$0.15 – $15.00","","",""
"1976","","1 Dollar","U.S. Bicentennial","Eisenhower Dollar - Variety 2","UNC 63","$31.35","$4 – $12","","",""
"1900","O","25 Cents","Barber Silver Quarters","Liberty Head","AC","$45.00","$15 – $35","","",""
"1918","","Penny","Lincoln Cent","Abraham Lincoln","Genuine","","$0.15 – $1.50","","",""
"1957","P","Nickel","Jefferson Nickel Series","Thomas Jefferson","Uncirculated","$2.50","$1.00 – $3.00","","",""
"2014","P","$1","Presidential $1 Coin Program","Calvin Coolidge","Uncirculated","3.50","Pending","","",""
