year,mint,series,name,denom,est_value,index_key,coin_id
1938,S,Lincoln Head Penny,Penny,Penny,Pending,,cf885d55-3de1-44cb-bbcb-5ba28c51f3c2
1983D,,Washington Silver Quarter,Quarter,Quarter,Pending,,cf9492c9-592a-4852-94e8-6fcfb6907e5d
2021,S,National Park Quarters,Quarter,Quarter,Pending,,cf96c633-b0cc-4dbc-9b7d-c000e7553c1b
1974,S,Eisenhower Dollar,Dollar,Dollar,Pending,,cfbe2640-2f30-4629-94a5-7ed017a29abb
1979D,,Roosevelt Dimes,Dime,Dime,Pending,,cfdc7dae-c567-4d73-b0ff-bbd45bccd26b
1919,P,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,cfe3e379-63a1-4592-8ee4-c5c23e9e155f
1971,D,Lincoln Cent Series,Penny,Penny,Pending,,cff19726-14e3-4a8d-874c-8aee49e1e4cb
1973,S,Eisenhower Dollar,1 Dollar,1 Dollar,Pending,,d001a3a8-22fd-476a-921c-3eed71e28273
1936,P,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,d00ea4f5-5351-41da-a81d-9d6efa5a830a
1945,,Washington Silver Quarter,Quarter,Quarter,Pending,,d0124a18-0d0c-44da-9618-7cc7d3f5138a
2007,,Lincoln Cent Series,Penny,Penny,Pending,,d045095e-ee5c-41a7-b538-736e6489b29e
1925,D,Lincoln Head Penny,Penny,Penny,Pending,,d04819ee-aa9f-4276-8fe7-af215f925b00
1880,,Liberty Head Half Eagle,$5 ,$5 ,Pending,,d0550a1d-dc0a-41b8-a168-1469b85ea464
2009P,,Presidential Dollars,1,1,Pending,,d05a48ed-0802-4d62-b3af-3fa0e0f3987e
2014D,,Roosevelt Dimes,Dime,Dime,Pending,,d066a357-9cbf-4d40-8e44-63fb61cf7f40
2014,P,America the Beautiful Quarters,Quarter,Quarter,Pending,,d0a34db4-fc4b-402b-b303-e7139185ef2f
2010S,,Presidential Dollars,1,1,Pending,,d0a53436-a8e9-40db-9792-d74bec730416
1984,,Lincoln Head Penny,Penny,Penny,Pending,,d0a87fc9-fb30-442e-8368-5eafc36afef8
1884,CC,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,d0e895e1-43e4-4fbf-942f-d5d8b8374369
2012,S,National Park Quarters,Quarter,Quarter,Pending,,d0ee9953-c1c1-4ec9-92d8-117a77cd730a
1959,D,Lincoln Cent,Penny,Penny,Pending,,d1200ff6-4f55-48ce-89ab-70b984ebdc4f
1853,O,Liberty Seated,Quarter,Quarter,Pending,,d130cd80-d964-42c2-afad-f48ca8ae3aec
2000,,Lincoln Cent,Penny,Penny,Pending,,d132b469-59cb-4822-bc51-e40b954bf852
2012S,,Presidential Dollars,1,1,Pending,,d13ab0b2-fc49-46b3-8868-59ab40c18d6d
2009P,,Presidential Dollars,1,1,Pending,,d13c26cb-950e-4a15-8c75-32bc4c39cd9d
1985D,,Washington Silver Quarter,Quarter,Quarter,Pending,,d13d87bd-1231-454c-b1b0-e4e352a163fe
1891,S,Liberty Seated,Liberty Seated Silver Dime,Liberty Seated Silver Dime,Pending,,d14aefcd-7dcb-4b1b-b8d0-bd5c9764b8fd
1941,,Lincoln Wheat Cent,Penny,Penny,Pending,,d14fc273-2ede-4c24-b525-6bfa54f1c8b0
1937,,Buffalo Nickel Series,Nickel,Nickel,Pending,,d160cd11-15a8-48b3-8d3e-32c6326f920e
1973D,,Roosevelt Dimes,Dime,Dime,Pending,,d161eba4-3909-4cda-8714-dcb8b469aa3f
2014,S,Lincoln Head Penny,Penny,Penny,Pending,,d180f66c-e48c-4232-a54e-520b675bb624
1916,S,Lincoln Cent,Penny,Penny,Pending,,d1b763e3-4cea-4ff8-b8be-cbd3b33e819e
1922,,Lincoln Wheat Cent,Penny,Penny,Pending,,d1bcfb75-9715-48ca-80e7-a0c0465814f7
2022,S,US Women's Quarters,Quarter,Quarter,Pending,,d1e31a66-103d-489d-b536-5c9fd14ad8e5
2007,D,Lincoln Cent,Penny,Penny,Pending,,d20c0850-0a1b-4ee2-92a6-610ffa874731
1917,D,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,d210e196-6ad6-4bbc-b00c-dde1a120a36f
2011D,,Presidential Dollars,1,1,Pending,,d243164a-06e3-4d60-bc10-cc0bf93d202a
1846,,Liberty Seated,Half Dollar,Half Dollar,Pending,,d24a9698-6cc3-46cb-a99f-97f321450415
1924,,Peace Dollar,Dollar,Dollar,Pending,,d24b0242-5757-4db6-a820-3451e8e7f71f
1988,S,American Eagle,Dollar,Dollar,Pending,,d2947769-5d9d-4754-bfb7-110cc1843686
1979,P,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Pending,,d2ab2c6e-4873-422d-9ea7-48a3a77a0602
1964,D,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,d2b352eb-8127-4d36-bab2-9346e0bbc79c
2015,P,America the Beautiful Quarters,Quarter,Quarter,Pending,,d2b66d5c-5511-4d38-be84-661a63cd050f
2012,S,National Park Quarters,Quarter,Quarter,Pending,,d2c5ef54-3eef-4eb4-858c-e53d80106674
2003,,Jefferson Nickel Series,Nickel,Nickel,Pending,,d2c6e46d-011d-4445-bc83-3d12a050992c
2009S,,Presidential Dollars,1,1,Pending,,d2cafd38-b172-4f70-ab2a-ad9bf0a293d5
1998,D,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,d2f978e3-3418-45d7-b01e-7322aa376b6d
2006S,,State and Territory Quarters,Quarter,Quarter,Pending,,d2ff78cd-cf9f-4844-a1e1-b394fb4431c5
2015,S,National Park Quarters,Quarter,Quarter,Pending,,d31bffbe-0f1a-4792-b499-5e76b0606dba
1852,,,Nickel,Nickel,Pending,,d338616d-694c-41b5-bf07-ecbd2ac971b6
2013,P,Native American Dollar,1 Dollar,1 Dollar,Pending,,d348139a-41f7-430e-bfe0-ed784971dff0
2008D,,State and Territory Quarters,Quarter,Quarter,Pending,,d35c3a1a-1610-45f5-a925-a317487cf25d
2000D,,Roosevelt Dimes,Dime,Dime,Pending,,d3643af7-6cab-4de3-9658-e6d75c31b1c3
2019,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,d36cf21c-cea9-462a-9ffa-7490051b76eb
1925,,Peace Dollar,Dollar,Dollar,Pending,,d37f8921-bd32-496c-a126-7527d818a9f2
1939,,Mercury Dime,Dime,Dime,Pending,,d38c6330-fd3d-49bd-863d-9d2065d884ae
1969,,Lincoln Head Penny,Penny,Penny,Pending,,d38d4182-b301-44dd-8e62-f710296942a4
1936,,,Quarter,Quarter,Pending,,d398c7fe-b1e4-4abf-9285-7d7943538445
2014,S,Native American Dollar,1 Dollar,1 Dollar,Pending,,d39dd0d7-5fc8-44de-bc53-0a59249630a5
1905,P,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,d3c04415-fbfa-48cf-a184-e8e1c51ea153
2011S,,Presidential Dollars,1,1,Pending,,d3ed7272-cc52-46ec-b1dc-18d4da80a308
1998,P,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,d3f78ff7-9d45-4fb5-bf2a-0ed444ddd556
2006S,,State and Territory Quarters,Quarter,Quarter,Pending,,d3ffa4f8-2c48-4859-b410-cade7dd39e5c
1956,P,Roosevelt Dime,Roosevelt Dime,Roosevelt Dime,Pending,,d4126eb1-af69-4b8d-9e1d-212cbb96466d
2011,S,National Park Quarters,Quarter,Quarter,Pending,,d434a3b5-09cc-4cca-a4f0-97f62df55809
1955S,,Roosevelt Dimes,Dime,Dime,Pending,,d4420989-c1d7-44fc-9e0d-6c99aa7c168f
1947,,Washington Silver Quarter,Quarter,Quarter,Pending,,d46984fe-deaf-4b45-8e32-bdb46a04db7a
2012,W,American Eagle,Dollar,Dollar,Pending,,d46b9081-a383-4658-ab40-cd62102a48da
1875,CC,Liberty Seated,Half Dollar,Half Dollar,Pending,,d46e4ca0-5d9a-4384-9192-f5dad92dfbde
1971,D,Eisenhower Dollar,Dollar,Dollar,Pending,,d480da96-e383-468b-85a6-9a736fd230b7
2007P,,Presidential Dollars,1,1,Pending,,d487d5ae-6cf6-483a-af8e-979b32f64709
2022,S,Native American Dollar,1 Dollar,1 Dollar,Pending,,d48d60e7-362a-4885-95f1-c7d611f90b60
1945S,,Washington Silver Quarter,Quarter,Quarter,Pending,,d48e5ef8-3e59-409b-a2ab-02025af2347c
1902,P,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,d4905817-9fc5-4673-97bf-85ea3e2d3b29
2009,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,d4a12f7f-f784-4b7c-80d2-080bd695e106
1935,D,Lincoln Head Penny,Penny,Penny,Pending,,d4a6250c-f6fb-4a73-b7bb-5212bd45b3ba
1885,,Morgan Silver Dollar,Dollar,Dollar,Pending,,d4d95333-7c42-4261-aaea-07ade1973635
1890,P,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,d4e6ad8d-73bb-419f-ae95-f7784247778c
1906,PENDING,Barber Series,Dime,Dime,Pending,,d4f3734c-18d6-4701-a6c6-a91b558d673f
1893,S,Barber,Half Dollar,Half Dollar,Pending,,d50b15b3-97da-4d15-aae5-8e6e2dce717c
2010,P,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,d50d54e3-1767-414b-931f-df656ae1ec2e
2009,P,Sacagawea Dollar,1 Dollar,1 Dollar,Pending,,d50db8d0-2c2c-4030-b262-1c43e109b33d
2012,D,National Park Quarters,Quarter,Quarter,Pending,,d514775a-1a44-41b2-a262-909456394bb0
1953S,,Washington Silver Quarter,Quarter,Quarter,Pending,,d51c9f63-1000-4cea-aaef-1dd84d02f1b5
1831,,Capped Bust Dime,Capped Bust Silver Dime,Capped Bust Silver Dime,Pending,,d54809a9-46ca-4994-b74d-576627279d2d
1902,S,Barber,Half Dollar,Half Dollar,Pending,,d54d533e-647e-46e0-8374-6c25ef0085ae
1839,,Liberty Seated,Quarter,Quarter,Pending,,d569b91a-81c4-447d-85fd-e0f369ed7133
1981S,,Washington Silver Quarter,Quarter,Quarter,Pending,,d570af66-86c0-4b49-b673-8eb10be6877b
2008D,,State and Territory Quarters,Quarter,Quarter,Pending,,d576ad1f-18de-49c5-97df-465e1a8c306f
1990,D,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,d57ce497-31a0-4f35-b5f2-fa72e55cdc83
2020,S,National Park Quarters,Quarter,Quarter,Pending,,d57ddfc9-8d80-401d-a82a-633cda398397
2018,,Jamul Indian Coin Set,US Coin Set,US Coin Set,Pending,,d5a48ef2-dad4-45af-bd1b-b816f6077ce4
1927,D,Buffalo Nickel,Nickel,Nickel,Pending,,d5cbcd59-5530-426e-8c3e-159ec3911bd9
1983P,,Washington Silver Quarter,Quarter,Quarter,Pending,,d5f7b4fb-b245-49b5-a4a9-8be6ae415bec
1982,S,,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,d61794d9-0913-4eb3-b519-3c1750d8c665
2003,D,Lincoln Head Penny,Penny,Penny,Pending,,d61a5e99-6a17-41ee-a076-f27f876e2ac0
1973,S,Eisenhower Dollar,1 Dollar,1 Dollar,Pending,,d62fdb8a-2f6c-483c-8046-18265eaa074c
1954,,Franklin Half Dollar,Half Dollar,Half Dollar,Pending,,d634a7f1-8b12-4283-968a-5f7626592c3e
1983P,,Roosevelt Dimes,Dime,Dime,Pending,,d662bfc9-fdec-4e02-afd5-8a3e254c9d17
1900,P,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,d67189aa-a629-4b5b-a3ec-199d9ab4f705
1951D,,Roosevelt Dimes,Dime,Dime,Pending,,d6742c20-62db-4809-95a2-d1f7c9f7d7a9
1951,,Washington Silver Quarter,Quarter,Quarter,Pending,,d684f3dc-8174-4e45-8259-cef4e50fdba2
1836,,,Capped Bust Silver Quarter,Capped Bust Silver Quarter,Pending,,d687876c-dd51-4a5b-ae0a-15aa69896b09
1913,,Lincoln Cent,Penny,Penny,Pending,,d6a30219-106f-42e9-9615-6f059f60dc63
1902,,Liberty Head Nickel,Nickel,Nickel,Pending,,d6ad195f-9c74-4c14-b3cc-6bca8bab325c
1913,D,Lincoln Cent Series,Penny,Penny,Pending,,d6b8c993-9f20-4324-a32e-4cdcff055d6d
2013,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,d6d3b48a-f243-46f6-a3e3-3a72a6b5b382
1954,,Lincoln Wheat Cent,Penny,Penny,Pending,,d6dc0686-bb2c-48ea-9dd3-e7ae16cce8ee
1996S,,Washington Silver Quarter,Quarter,Quarter,Pending,,d6dca21e-9199-4da7-8d2d-327f0bffc526
2023,P,,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,d6e7a124-dd44-4eb8-96be-d78beea9ee56
1980,,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Pending,,d6ebde69-d831-4921-a5bc-a5a6e186413b
2010,P,America the Beautiful Quarters,Quarter,Quarter,Pending,,d6ffc8e8-cab9-4511-8fc1-f71826ac9041
1842,O,,Nickel,Nickel,Pending,,d7076c44-e57f-4a60-8070-5292f70c1a6c
1944,,Mercury Dime,Dime,Dime,Pending,,d70c263e-b2a7-43fd-a909-7b6ae7c27514
2012,S,National Park Quarters,Quarter,Quarter,Pending,,d70fb3e9-5c85-4cd7-a32c-d8c12df32280
1822,,Capped Bust Half Dollar,Capped Bust Silver Half Dollar,Capped Bust Silver Half Dollar,Pending,,d719dfc0-fcf7-4a4f-8514-4d5b33067bbb
2011S,,Roosevelt Dimes,Dime,Dime,Pending,,d7206033-6e97-41fb-b1f1-ef990c004c1a
1939,,Mercury Dime,Dime,Dime,Pending,,d74605fe-ab33-48c3-935e-e1c250a53e37
1962,D,Roosevelt Dime Series,Dime,Dime,Pending,,d76615fb-2398-4f49-a718-3e46548f6fda
1891,O,Liberty Seated Silver Dime,Dime,Dime,Pending,,d7695840-9e0c-45bc-a536-d8497db72209
1954,,,Nickel,Nickel,Pending,,d76d075c-4ef4-4083-a41e-6a85d477ddf8
2000S,,State and Territory Quarters,Quarter,Quarter,Pending,,d77176de-da73-4468-8a48-ce6b859536b5
2020,D,National Park Quarters,Quarter,Quarter,Pending,,d783fb0e-f5b3-4928-af8d-419c6a049a5b
1928,,Mercury Dime,Dime,Dime,Pending,,d796866e-432f-462a-b558-1aeb7384dc64
1863,,Liberty Seated,Quarter,Quarter,Pending,,d79d8603-c2a5-4c7f-9fb9-67ad31a154ee
1932,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,d7f96b9c-cb34-4e22-afa0-2c5fa5fb9091
1924,D,Mercury Silver Dime,1 Dime,1 Dime,Pending,,d812b872-eb99-47bc-8575-fccc32103e12
1951,,Franklin Half Dollar,Half Dollar,Half Dollar,Pending,,d826fa9a-c6ba-4bc1-9755-62ccd9b8b39b
1940,P,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,d85d8517-29b2-4209-b866-904e4b8c8b1c
1939,,Lincoln Wheat Cent Series,Penny,Penny,Pending,,d86a2232-5063-480b-a29e-f0197ec0c902
1956D,,Roosevelt Dimes,Dime,Dime,Pending,,d87c1de1-79c8-4c81-a997-911edadef34d
1968,,Lincoln Cent Series,Penny,Penny,Pending,,d8a9ca7c-0ab2-4bf7-a844-6c379cd3fe77
1988P,,Washington Silver Quarter,Quarter,Quarter,Pending,,d8b14099-eac7-4974-83c7-9699fd3295ea
1919,,Lincoln Cent,Penny,Penny,Pending,,d8b44d61-dd7b-4096-b6f5-8fea0119e679
1992,S,American Eagle,Dollar,Dollar,Pending,,d8cc32b6-5ac3-4b3d-81b2-1de949cc6043
1976,S,U.S. Bicentennial,Dollar,Dollar,Pending,,d8d9266a-89da-40a6-a720-ead171bad583
1943,,Walking Liberty Half Dollar,Walking Liberty Half Dollar,Walking Liberty Half Dollar,Pending,,d8ddb00d-b4fb-44f3-820f-facfb586e528
1926,,Mercury Dime,Dime,Dime,Pending,,d8df0e70-f301-4dcd-917e-8d514ebc73c0
2013,W,American Eagle,Dollar,Dollar,Pending,,d8ec6663-853c-42e8-b481-c308635c1f38
1932D,,Washington Silver Quarter,Quarter,Quarter,Pending,,d903fb0b-e43d-4a06-bf15-106b0dda1e5f
1942S,,Washington Silver Quarter,Quarter,Quarter,Pending,,d90f5afd-9284-4f53-b201-497dd3b45c2f
1908,P,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,d9174e4b-b73b-4a2e-ac44-c9a0abc55ec0
1901,,Morgan Silver Dollar,Dollar,Dollar,Pending,,d9191670-2cc9-4513-823b-52a2db5678b1
2019,W,Silver eagles signed by Tom Cleveland,1,1,Pending,,d920a5e0-787b-4a86-8684-86df21d07e75
1953,,America Revisited Selection: Time Capsule Year Set,Assorted US Coins,Assorted US Coins,Pending,,d925cb06-a008-4576-964e-50dee59c45fa
1975,,THE U.S. NICKEL COLLECTION,Nickel,Nickel,Pending,,d934aa4b-ff9d-4b2d-a07b-c13b0ba5fc5b
2022,P,US Women's Quarters,Quarter,Quarter,Pending,,d937d55d-b753-431f-b01a-bfc8c49a2105
1888,O,Morgan Silver Dollar,Dollar,Dollar,Pending,,d93afe6f-6b92-4953-9033-0cee6f4f592d
2012,S,National Park Quarters,Quarter,Quarter,Pending,,d9444a3f-26c2-4f00-b041-d62b7deadfa2
1880,CC,Morgan Silver Dollar,1,1,Pending,,d9533b87-9a45-458f-88cd-1bab6d64667e
1892,P,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,d96a8662-2fb0-4269-9e96-683393f5ffae
2010,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,d9ba231f-ccdd-4d34-8773-51095c836b52
2010S,,Presidential Dollars,1,1,Pending,,d9e0bef0-6c21-4b8d-b3f5-adb8a86d339a
1950,D,Lincoln Head Penny,Penny,Penny,Pending,,d9ebc3d6-4def-4c3a-8c99-fc2646821e37
1908,D,Barber,Half Dollar,Half Dollar,Pending,,d9fced8a-7fb0-4160-aecd-2639d0dc9c32
1999S,,State and Territory Quarters,Quarter,Quarter,Pending,,d9fd1f8b-3d98-4eda-8829-25d215fedb73
2011P,,Roosevelt Dimes,Dime,Dime,Pending,,da0165dc-1b62-4a42-9975-02f7853d92e5
2020,W,Jefferson Nickel Series,Nickel,Nickel,Pending,,da0f5aeb-644f-44e7-aaf1-bc883579b187
1967,,Washington Silver Quarter,Quarter,Quarter,Pending,,da1084dc-c444-4daf-a57c-23cc263f399c
1999,,Washington Silver Quarter,Quarter,Quarter,Pending,,da111260-8682-4c4c-b2aa-21be2d50a6ab
1972,,Roosevelt Dimes,Dime,Dime,Pending,,da577b53-4222-48ad-a095-e76eaa50e357
2017,S,National Park Quarters,Quarter,Quarter,Pending,,da5f5fee-9bec-42b2-a6b3-f34eb31090de
1944,S,Lincoln Cent,Penny,Penny,Pending,,da62c308-173b-41e4-8b20-46439562eb37
1950,,Roosevelt Dimes,Dime,Dime,Pending,,da8ca62c-d408-412d-aa21-eea4b6af5b8b
1933,,Lincoln Cent Series,Penny,Penny,Pending,,da8fe261-d8ff-4a56-a147-16976a655522
1941,S,Lincoln Cent,Penny,Penny,Pending,,daa0385f-80a7-4b5a-a80f-c605e9461882
1935,,Lincoln Cent,Penny,Penny,Pending,,daaa3aac-9644-4c8f-88bd-8dd93b74b517
2009D,,State and Territory Quarters,Quarter,Quarter,Pending,,daacca8b-c28a-461f-909f-f99c370670a4
1891,,Morgan Silver Dollar,Dollar,Dollar,Pending,,dac3514b-c9fc-4b78-8d3e-c9d5c4cb86d8
1818,,Capped Bust Half Dollar,Capped Bust Silver Half Dollar,Capped Bust Silver Half Dollar,Pending,,dae8e910-4dac-4002-8e7a-f5b50ea7bae9
1884,S,Liberty Seated,Liberty Seated Dime,Liberty Seated Dime,Pending,,daf774f7-03cd-4c20-9c66-154b97cbb6d2
1894,,Barber,Half Dollar,Half Dollar,Pending,,db1de6ca-bd26-4646-9466-dc90910bfc8c
1973,,Washington Silver Quarter,Quarter,Quarter,Pending,,db24c181-27df-4ede-8aa7-cd38833f68d8
2011,,American Eagle 25th Anniversary Set,Dollar,Dollar,Pending,,db29d4f7-89eb-4bb8-a6b8-e21981b3161a
1889,P,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,db2c3752-7723-43f8-9570-ea3c03a0baa0
,,Morgan Silver Dollar,1,1,Pending,,db33a318-5089-4fc1-b5a0-43ef06e63310
1974,D,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,db34b3bb-1afe-4402-8109-da3d7f243172
1963,D,,Franklin Silver Half Dollar,Franklin Silver Half Dollar,Pending,,db4e39c8-5f37-40d3-9c69-2c9eb406db98
1945,D,Liberty Walking Half Dollar,Half Dollar,Half Dollar,Pending,,db55f80d-4ea7-4556-b92c-5839e96b604c
1986,D,Lincoln Cent,Penny,Penny,Pending,,db5d711e-05c4-456f-9304-ea9d03fb497f
1952,,Lincoln Head Penny,Penny,Penny,Pending,,db6b4631-f4c2-4281-83bd-c21ea2fabd8f
1991,S,Lincoln Cent,Penny,Penny,Pending,,db782192-61f9-4c03-8448-47bfa9e6c393
1968D,,Washington Silver Quarter,Quarter,Quarter,Pending,,db792133-e9fe-4202-a5e6-dd7528a0a0d2
1954,,Washington Silver Quarter,Quarter,Quarter,Pending,,dbb7067c-29fe-4a11-959f-483a1f894b5e
2010,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,dbcfa821-9d02-49da-910e-73f06f00c249
1999,P,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Susan B. Anthony Dollar,Pending,,dbdd6db0-90e1-4c38-b1a5-e71f0fac4104
1901,O,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,dbfc6929-94ef-4e2f-8d12-3dfe97c3137e
2007P,,Presidential Dollars,1,1,Pending,,dc0d80b9-84cb-4f1d-a494-9d1adfd56a2c
1930,,Lincoln Head Penny,Penny,Penny,Pending,,dc1806c5-4b65-43f4-9b4c-9d1c29b78ab0
1859,,,Nickel,Nickel,Pending,,dc2cb322-38cb-42a4-b8c6-c13b5742e8cd
1942,S,Jefferson Nickel Series,Nickel,Nickel,Pending,,dc30d434-c5f8-4f09-93a5-eac007563ff8
1982,D,Lincoln Cent,Penny,Penny,Pending,,dc3d19f0-b2d9-4b34-baec-02393bce6cd4
2008S,,Presidential Dollars,1,1,Pending,,dc4d5a4f-40b4-44dc-9882-457475e44bdd
1970D,,Washington Silver Quarter,Quarter,Quarter,Pending,,dc5ea6f3-7a9f-4e15-b82b-148a9f9cc2ac
1947S,,Roosevelt Dimes,Dime,Dime,Pending,,dc7dc888-d8cb-4a9f-bfb5-67133ecedcee
1888,,,1888,,Pending,,dc8f1ef4-2109-44ef-a611-daa001bc3e5b
1866,,Liberty Seated,Half Dollar,Half Dollar,Pending,,dcb264ec-4d8c-44cb-9476-55fce4a7f0c0
1974,,Roosevelt Dimes,Dime,Dime,Pending,,dcc6548d-7f0a-4f56-b120-efaaaac7f71d
1896,P,Morgan Silver Dollars,1 Dollar,1 Dollar,Pending,,dcd14f37-a80f-416a-8724-0b55fb48381a
2022,S,US Women's Quarters,Quarter,Quarter,Pending,,dcd18f4f-bfbe-49b2-96a9-aca62e5846bc
1944,,Lincoln Cent,Penny,Penny,Pending,,dce56bbc-c029-4d1e-9949-551325bc8d3e
2001S,,Roosevelt Dimes,Dime,Dime,Pending,,dceb6604-5331-4a9b-a566-20565ac95b3d
1853,,Liberty Seated,Half Dollar,Half Dollar,Pending,,dcf281be-816d-45a8-98b1-712bfd825796
1970S,,Roosevelt Dimes,Dime,Dime,Pending,,dcf66eb2-afb3-420a-8f4b-04723e1d5414
1912,P,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,dd525b4e-3c3c-4662-9f89-2e0a6441b27c
2011,S,National Park Quarters,Quarter,Quarter,Pending,,dd5844a7-c741-4d13-81fd-3e3445df5e37
2009P,,Presidential Dollars,1,1,Pending,,dd8cc690-fc75-4d0e-8478-b4c0667382d4
2024,W,American Silver Eagle,Dollar,Dollar,Pending,,dd91386d-b85f-4844-b4a0-0fdb406dc414
1973,S,Eisenhower Dollar,Dollar,Dollar,Pending,,dd970bfb-98b8-463b-b1cb-988c4f406c3a
1906,D,Barber Dimes,Barber Silver Dimes,Barber Silver Dimes,Pending,,ddb214f0-c93a-4c62-bd88-e841df64e8d5
1963D,,Roosevelt Dimes,Dime,Dime,Pending,,ddcd5bb0-8848-4256-896c-e7678df1617f
1856,,Liberty Seated,Half Dollar,Half Dollar,Pending,,ddf4b3ce-e573-42a9-97c3-886627c498a7
2013,S,Lincoln Cent Series,Penny,Penny,Pending,,ddf82b21-66ef-409f-bdb3-ef111088b2bc
2009,S,Kennedy Half Dollar,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,de13b034-a6fe-4f91-a73d-06e9f88d8471
2006D,,State and Territory Quarters,Quarter,Quarter,Pending,,de1ce2c4-c904-455b-bfa3-3af07c8c183b
1891,O,Morgan Silver Dollar,1,1,Pending,,de2ca210-c370-4d14-bab5-6087982bbd38
2021,P,American Innovation Dollars,1 Dollar,1 Dollar,Pending,,de309bbc-2140-4ad2-a9db-b18cbb2a40d6
2002,S,Sacagawea Dollar,1 Dollar,1 Dollar,Pending,,de3f5861-6386-4800-a31b-762e60e93b60
1844,O,Liberty Seated,Quarter,Quarter,Pending,,de4a185a-3710-4119-99df-357164f58601
1916,D,Lincoln Head Penny,Penny,Penny,Pending,,de61e68b-bc64-4ca7-9712-59b18de12a2a
2000P,,State and Territory Quarters,Quarter,Quarter,Pending,,de7f361b-16a0-4e48-a344-b6d3921c5470
1973,,Lincoln Cent Series,Penny,Penny,Pending,,de889372-170f-4e70-9391-b240aaefc3de
2024,P,U.S. Innovation Dollar,Dollar,Dollar,Pending,,debea57f-10a7-4ebb-b3be-d761cb809988
1998S,,Washington Silver Quarter,Quarter,Quarter,Pending,,df0b92a0-dade-4b0f-acd9-bfef1be68156
1928,S,,Mercury Dime,Mercury Dime,Pending,,df5b4d4d-bdc3-4a72-a267-da6facaa5800
2012,S,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,df82ae1f-1b1a-4ab7-821c-7ba4265cac2c
2014,D,America the Beautiful Quarters,Quarter,Quarter,Pending,,df8fbc1d-971e-40c9-998d-419b4dadf164
1896,S,Barber Silver Quarters,25 Cents,25 Cents,Pending,,df94e03e-2593-4d7c-bcaf-115996b18fd2
2005P,,State and Territory Quarters,Quarter,Quarter,Pending,,dfb4e63a-2a87-4a8a-928f-811796f67124
2004,S,Kennedy Half Dollar Series,Kennedy Half Dollar,Kennedy Half Dollar,Pending,,dfc03870-3ee1-4846-884c-fd4b6bdec396
1991S,,Roosevelt Dimes,Dime,Dime,Pending,,dfc3ac83-f77b-41b6-b06d-0ad6033c4a0f
1909,S,Barber Silver Quarters,25 Cents,25 Cents,Pending,,dfc7bbbd-8a27-4b81-aa1c-8616b2780d31
1854,,Liberty Seated,Half Dollar,Half Dollar,Pending,,dfe1ff48-29e3-4ef8-8fa7-d1b75926e473
2016,S,America the Beautiful Quarters,Quarter,Quarter,Pending,,dff0b330-9697-4b27-a6ed-e721b5e98ca0
2010,P,National Park Quarters,Quarter,Quarter,Pending,,e012a1a3-238f-4a5c-89fd-774a9ef099f2
1943D,,Washington Silver Quarter,Quarter,Quarter,Pending,,e01a4f0c-5659-4df7-b9ff-0b80f7c540a4
2003,,Lincoln Head Penny,Penny,Penny,Pending,,e0362c9a-42f2-4bb4-928f-e2f7659d455e
2007S,,Presidential Dollars,1,1,Pending,,e037c0ac-2030-4505-b321-e246821f71dd
